country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","03-06-2026 20:00:00",17.65439,75.90649,OZONE,10,34,24
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","03-06-2026 20:00:00",19.26777,72.97182,PM10,60,88,73
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","03-06-2026 20:00:00",19.26777,72.97182,NO2,22,311,59
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","03-06-2026 20:00:00",20.555712,74.529236,PM10,NA,NA,NA
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","03-06-2026 20:00:00",19.296481,72.840923,SO2,7,9,7
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","03-06-2026 20:00:00",19.065931,72.862131,PM10,38,69,54
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","03-06-2026 20:00:00",19.065931,72.862131,OZONE,1,91,41
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","03-06-2026 20:00:00",19.2243333,72.8658113,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","03-06-2026 20:00:00",19.0364585,72.8954371,SO2,2,71,9
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","03-06-2026 20:00:00",11.9309,79.8027,SO2,4,10,7
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","03-06-2026 20:00:00",31.620000,74.876512,NO2,14,18,16
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","03-06-2026 20:00:00",31.620000,74.876512,NH3,7,7,7
India,Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB","03-06-2026 20:00:00",30.233011,74.907758,NO2,44,53,46
India,Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB","03-06-2026 20:00:00",30.233011,74.907758,CO,46,80,64
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","03-06-2026 20:00:00",31.321907,75.578914,NH3,5,6,6
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","03-06-2026 20:00:00","30.736056 ",76.209694,NH3,NA,NA,NA
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","03-06-2026 20:00:00","30.736056 ",76.209694,SO2,NA,NA,NA
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","03-06-2026 20:00:00",30.9028,75.8086,PM10,81,120,92
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","03-06-2026 20:00:00",30.9028,75.8086,OZONE,53,88,56
India,Punjab,Patiala,"Model Town, Patiala - PPCB","03-06-2026 20:00:00",30.349388,76.366642,PM2.5,27,46,37
India,Punjab,Patiala,"Model Town, Patiala - PPCB","03-06-2026 20:00:00",30.349388,76.366642,NH3,6,7,6
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements","03-06-2026 20:00:00",31.0325454,76.5623046,CO,34,42,37
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","03-06-2026 20:00:00",26.470859,74.646594,NH3,8,11,9
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","03-06-2026 20:00:00",26.470859,74.646594,SO2,8,16,12
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","03-06-2026 20:00:00",26.470859,74.646594,OZONE,12,35,32
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","03-06-2026 20:00:00",27.554793,76.611536,NH3,3,16,10
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","03-06-2026 20:00:00",24.892047,74.623527,CO,24,30,26
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","03-06-2026 20:00:00",24.892047,74.623527,OZONE,103,185,151
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","03-06-2026 20:00:00",28.296139,74.961696,PM10,61,226,122
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","03-06-2026 20:00:00",28.296139,74.961696,NO2,4,34,15
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB","03-06-2026 20:00:00",26.895552,76.334753,NH3,6,16,10
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB","03-06-2026 20:00:00",26.699557,77.898881,SO2,9,14,11
India,Rajasthan,Dungarpur,"Bhoiwada, Dungarpur - RSPCB","03-06-2026 20:00:00",23.837789,73.714926,PM2.5,3,83,55
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","03-06-2026 20:00:00",26.902909,75.836858,NO2,15,32,24
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","03-06-2026 20:00:00",26.843698,75.766894,PM10,63,191,119
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","03-06-2026 20:00:00",26.843698,75.766894,NH3,10,13,11
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","03-06-2026 20:00:00",26.9164092,75.7994901,NO2,61,188,106
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","03-06-2026 20:00:00",26.9164092,75.7994901,SO2,22,33,27
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","03-06-2026 20:00:00",26.786682,75.827928,CO,13,66,26
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","03-06-2026 20:00:00",26.786682,75.827928,OZONE,19,100,88
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","03-06-2026 20:00:00",26.960669,75.771817,NO2,7,27,13
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","03-06-2026 20:00:00",26.960669,75.771817,NH3,4,14,9
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","03-06-2026 20:00:00",26.960669,75.771817,OZONE,22,84,71
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB","03-06-2026 20:00:00",25.344694,72.626208,CO,13,40,26
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","03-06-2026 20:00:00",24.588397,76.172782,SO2,3,12,6
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","03-06-2026 20:00:00",28.108988,75.386577,SO2,4,5,4
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","03-06-2026 20:00:00",26.268249,73.0193853,PM2.5,33,485,243
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","03-06-2026 20:00:00",26.295810,73.082283,PM2.5,22,317,100
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","03-06-2026 20:00:00",26.295810,73.082283,NH3,6,11,8
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","03-06-2026 20:00:00",26.215415,73.070156,PM2.5,23,356,124
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","03-06-2026 20:00:00",26.215415,73.070156,PM10,93,500,243
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","03-06-2026 20:00:00",26.215415,73.070156,SO2,2,4,2
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","03-06-2026 20:00:00",26.358805,73.047444,PM10,113,487,227
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","03-06-2026 20:00:00",26.253384,72.976571,PM10,NA,NA,NA
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","03-06-2026 20:00:00",26.253384,72.976571,SO2,NA,NA,NA
